Name,Type,Drive,MSRP,Dealer,Engine,Cyl,HP,CMPG,HMPG,Weight,WheelBase,Length,Width
Volkswagen Passat GLS 4dr,Car,FWD,23955,21898,1.8,4,170,22,31,3.241,106,185,69
Volvo S40 4dr,Car,FWD,25135,23701,1.9,4,170,22,29,2.767,101,178,68
Acura TL 4dr,Car,FWD,33195,30299,3.2,6,270,20,28,3.575,108,186,72
Audi A41.8T convertible 2dr,Car,FWD,35940,32506,1.8,4,170,23,30,3.638,105,180,70
Audi A4 3.0 4dr,Car,FWD,31840,28846,3,6,220,20,28,3.462,104,179,70
Audi A4 3.0 Quattro 4dr manual,Car,AWD,33430,30366,3,6,220,17,26,3.583,104,179,70
Audi A4 3.0 Quattro 4dr auto,Car,AWD,34480,31388,3,6,220,18,25,3.627,104,179,70
Audi A6 3.0 4dr,Car,FWD,36640,33129,3,6,220,20,27,3.561,109,192,71
Audi A6 3.0 Quattro 4dr,Car,AWD,39640,35992,3,6,220,18,25,3.88,109,192,71
BMW 325Ci 2dr,Car,RWD,30795,28245,2.5,6,184,20,29,3.197,107,177,69
BMW 325Ci convertible 2dr,Car,RWD,37995,34800,2.5,6,184,19,27,3.56,107,177,69
BMW 325xi 4dr,Car,AWD,30245,27745,2.5,6,184,19,27,3.461,107,176,69
BMW 330i 4dr,Car,RWD,35495,32525,3,6,225,20,30,3.285,107,176,69
BMW 330Ci 2dr,Car,RWD,36995,33890,3,6,225,20,30,3.285,107,176,69
BMW 330xi 4dr,Car,AWD,37245,34115,3,6,225,20,29,3.483,107,176,69
BMW 525i 4dr,Car,RWD,39995,36620,2.5,6,184,19,28,3.428,114,191,73
Buick LeSabre Limited 4dr,Car,FWD,32245,29566,3.8,6,205,20,29,3.591,112,200,74
Buick Park Avenue 4dr,Car,FWD,35545,32244,3.8,6,205,20,29,3.778,114,207,75
Cadillac CTS VVT 4dr,Car,RWD,30835,28575,3.6,6,255,18,25,3.694,113,190,71
Chrysler 300M Special Edition 4dr,Car,FWD,33295,30884,3.5,6,255,18,27,3.65,113,198,74
Chrysler Sebring Limited convertible 2dr,Car,FWD,30950,28613,2.7,6,200,21,28,3.448,106,194,69
Ford Crown Victoria LX Sport 4dr,Car,RWD,30315,27756,4.6,8,239,17,25,4.057,115,212,78
Infiniti G35 4dr,Car,AWD,32445,29783,3.5,6,260,18,26,3.677,112,187,69
Infiniti I35 4dr,Car,FWD,31145,28320,3.5,6,255,19,26,3.306,108,194,70
Jaguar X-Type 3.0 4dr,Car,AWD,33995,30995,3,6,227,18,25,3.516,107,184,70
Lexus ES 330 4dr,Car,FWD,32350,28755,3.3,6,225,20,29,3.46,107,191,71
Lexus IS 300 4dr manual,Car,RWD,31045,27404,3,6,215,18,25,3.255,105,177,68
Lexus IS 300 4dr auto,Car,RWD,32415,28611,3,6,215,18,24,3.285,105,177,68
Lincoln LS V6 Luxury 4dr,Car,RWD,32495,29969,3,6,232,20,26,3.681,115,194,73
Lincoln LS V6 Premium 4dr,Car,RWD,36895,33929,3,6,232,20,26,3.681,115,194,73
Mercedes-Benz C240 4dr,Car,RWD,32280,30071,2.6,6,168,20,25,3.36,107,178,68
Mercedes-Benz C240 4dr,Car,AWD,33480,31187,2.6,6,168,19,25,3.36,107,178,68
Mercedes-Benz C320 Sport 4dr,Car,RWD,35920,33456,3.2,6,215,19,26,3.43,107,178,68
Mercedes-Benz C320 4dr,Car,RWD,37630,35046,3.2,6,215,20,26,3.45,107,178,68
Mercedes-Benz C320 4dr,Car,AWD,38830,36162,3.2,6,215,19,27,,107,178,68
Mercury Grand Marquis LS Ultimate 4dr,Car,RWD,30895,28318,4.6,8,224,17,25,4.052,115,212,78
Mercury Marauder 4dr,Car,RWD,34495,31558,4.6,8,302,17,23,4.195,115,212,78
Pontiac Bonneville GXP 4dr,Car,FWD,35995,32997,4.6,8,275,,,3.79,112,203,74
Saab 9-3 Arc Sport 4dr,Car,FWD,30860,29269,2,4,210,20,28,3.175,105,183,69
Saab 9-3 Aero 4dr,Car,FWD,33360,31562,2,4,210,20,28,3.175,105,183,69
Saab 9-5 Arc 4dr,Car,FWD,35105,33011,2.3,4,220,21,29,3.47,106,190,71
Saab 9-5 Aero 4dr,Car,FWD,39465,37721,2.3,4,250,21,29,3.47,106,190,71
Subaru Outback H-6 VDC 4dr,Car,AWD,31545,28603,3,6,212,19,26,3.63,104,184,69
Toyota Avalon XLS 4dr,Car,FWD,30920,27271,3,6,210,21,29,3.439,107,192,72
Volkswagen Passat GLX V6 4MOTION 4dr,Car,FWD,33180,30583,2.8,6,190,19,26,3.721,106,185,69
Volkswagen Passat W8 4MOTION 4dr,Car,FWD,39235,36052,4,8,270,18,25,3.953,106,185,69
Volvo S60 2.5 4dr,Car,AWD,31745,29916,2.5,5,208,20,27,3.903,107,180,71
Volvo S60 T5 4dr,Car,FWD,34845,32902,2.3,5,247,20,28,3.766,107,180,71
Volvo S60 R 4dr,Car,AWD,37560,35382,2.5,5,300,18,25,3.571,107,181,71
Volvo S80 2.9 4dr,Car,FWD,37730,35542,2.9,6,208,20,28,3.576,110,190,72
Volvo S80 2.5T 4dr,Car,AWD,37885,35688,2.5,5,194,20,27,3.691,110,190,72
Acura 3.5 RL 4dr,Car,FWD,43755,39014,3.5,6,225,18,24,3.88,115,197,72
Acura 3.5 RL w/Navigation 4dr,Car,FWD,46100,41100,3.5,6,225,18,24,3.893,115,197,72
Audi A4 3.0 convertible 2dr,Car,FWD,42490,38325,3,6,220,20,27,3.814,105,180,70
Audi A4 3.0 Quattro convertible 2dr,Car,AWD,44240,40075,3,6,220,18,25,4.013,105,180,70
Audi A6 2.7 Turbo Quattro 4dr,Car,AWD,42840,38840,2.7,6,250,18,25,3.836,109,192,71
Audi A6 4.2 Quattro 4dr,Car,AWD,49690,44936,4.2,8,300,17,24,4.024,109,193,71
Audi A8 L Quattro 4dr,Car,AWD,69190,64740,4.2,8,330,17,24,4.399,121,204,75
Audi S4 Quattro 4dr,Car,AWD,48040,43556,4.2,8,340,14,20,3.825,104,179,70
BMW 330Ci convertible 2dr,Car,RWD,44295,40530,3,6,225,19,28,3.616,107,177,69
BMW 530i 4dr,Car,RWD,44995,41170,3,6,225,20,30,3.472,114,191,73
BMW 545iA 4dr,Car,RWD,54995,50270,4.4,8,325,18,26,3.814,114,191,73
BMW 745i 4dr,Car,RWD,69195,63190,4.4,8,325,18,26,4.376,118,198,75
BMW 745Li 4dr,Car,RWD,73195,66830,4.4,8,325,18,26,4.464,123,204,75
Buick Park Avenue Ultra 4dr,Car,FWD,40720,36927,3.8,6,240,18,28,3.909,114,207,75
Cadillac Deville 4dr,Car,FWD,45445,41650,4.6,8,275,18,26,3.984,115,207,74
Cadillac Deville DTS 4dr,Car,FWD,50595,46362,4.6,8,300,18,26,4.044,115,207,74
Cadillac Seville SLS 4dr,Car,FWD,47955,43841,4.6,8,275,18,26,3.992,112,201,75
Infiniti M45 4dr,Car,RWD,42845,38792,4.5,8,340,17,23,3.851,110,197,70
Infiniti Q45 Luxury 4dr,Car,RWD,52545,47575,4.5,8,340,17,23,3.977,113,200,73
Jaguar S-Type 3.0 4dr,Car,RWD,43895,40004,3,6,235,18,26,3.777,115,192,72
Jaguar S-Type 4.2 4dr,Car,RWD,49995,45556,4.2,8,294,18,28,3.874,115,192,72
Jaguar S-Type R 4dr,Car,RWD,63120,57499,4.2,8,390,17,24,4.046,115,192,72
Jaguar Vanden Plas 4dr,Car,RWD,68995,62846,4.2,8,294,18,28,3.803,119,200,73
Jaguar XJ8 4dr,Car,RWD,59995,54656,4.2,8,294,18,28,3.803,119,200,73
Jaguar XJR 4dr,Car,RWD,74995,68306,4.2,8,390,17,24,3.948,119,200,73
Lexus GS 300 4dr,Car,RWD,41010,36196,3,6,220,18,25,3.649,110,189,71
Lexus GS 430 4dr,Car,RWD,48450,42232,4.3,8,300,18,23,3.715,110,189,71
Lexus LS 430 4dr,Car,RWD,55750,48583,4.3,8,290,18,25,3.99,115,197,72
Lincoln LS V8 Sport 4dr,Car,RWD,40095,36809,3.9,8,280,17,24,3.768,115,194,73
Lincoln LS V8 Ultimate 4dr,Car,RWD,43495,39869,3.9,8,280,17,24,3.768,115,194,73
Lincoln Town Car Signature 4dr,Car,RWD,41815,38418,4.6,8,239,17,25,4.369,118,215,78
Lincoln Town Car Ultimate 4dr,Car,RWD,44925,41217,4.6,8,239,17,25,4.369,118,215,78
Lincoln Town Car Ultimate L 4dr,Car,RWD,50470,46208,4.6,8,239,17,25,4.474,124,221,78
Mercedes-Benz C32 AMG 4dr,Car,RWD,52120,48522,3.2,6,349,16,21,3.54,107,178,68
Mercedes-Benz CL500 2dr,Car,RWD,94820,88324,5,8,302,16,24,4.085,114,196,73
Mercedes-Benz CL600 2dr,Car,RWD,128420,119600,5.5,12,493,13,19,4.473,114,196,73
Mercedes-Benz CLK320 coupe 2dr (convertible),Car,RWD,45707,41966,3.2,6,215,20,26,3.77,107,183,69
Mercedes-Benz CLK500 coupe 2dr (convertible),Car,RWD,52800,49104,5,8,302,17,22,3.585,107,183,69
Mercedes-Benz E320 4dr,Car,RWD,48170,44849,3.2,6,221,19,27,3.635,112,190,71
Mercedes-Benz E500 4dr,Car,RWD,57270,53382,5,8,302,16,20,3.815,112,190,71
Mercedes-Benz S430 4dr,Car,RWD,74320,69168,4.3,8,275,18,26,4.16,122,203,73
Mercedes-Benz S500 4dr,Car,AWD,86970,80939,5,8,302,16,24,4.39,122,203,73
Saab 9-3 Arc convertible 2dr,Car,FWD,40670,38520,2,4,210,21,29,3.48,105,182,69
Saab 9-3 Aero convertible 2dr,Car,FWD,43175,40883,2,4,210,21,30,3.7,105,182,69
Volkswagen Phaeton 4dr,Car,FWD,65000,59912,4.2,8,335,,,5.194,118,204,75
Volkswagen Phaeton W12 4dr,Car,FWD,75000,69130,6,12,420,,,5.399,118,204,75
Volvo C70 LPT convertible 2dr,Car,FWD,40565,38203,2.4,5,197,21,28,3.45,105,186,72
Volvo C70 HPT convertible 2dr,Car,FWD,42565,40083,2.3,5,242,20,26,3.45,105,186,72
Volvo S80 T6 4dr,Car,FWD,45210,42573,2.9,6,268,19,26,3.653,110,190,72
Acura NSX coupe 2dr manual S,Sports,RWD,89765,79978,3.2,6,290,17,24,3.153,100,174,71
Audi RS 6 4dr,Sports,FWD,84600,76417,4.2,8,450,15,22,4.024,109,191,78
Audi TT 1.8 convertible 2dr (coupe),Sports,FWD,35940,32512,1.8,4,180,20,28,3.131,95,159,73
Audi TT 1.8 Quattro 2dr (convertible),Sports,AWD,37390,33891,1.8,4,225,20,28,2.921,96,159,73
Audi TT 3.2 coupe 2dr (convertible),Sports,AWD,40590,36739,3.2,6,250,21,29,3.351,96,159,73
BMW M3 coupe 2dr,Sports,RWD,48195,44170,3.2,6,333,16,24,3.415,108,177,70
BMW M3 convertible 2dr,Sports,RWD,56595,51815,3.2,6,333,16,23,3.781,108,177,70
BMW Z4 convertible 2.5i 2dr,Sports,RWD,33895,31065,2.5,6,184,20,28,2.932,98,161,70
BMW Z4 convertible 3.0i 2dr,Sports,RWD,41045,37575,3,6,225,21,29,2.998,98,161,70
Cadillac XLR convertible 2dr,Sports,RWD,76200,70546,4.6,8,320,17,25,3.647,106,178,72
Chevrolet Corvette 2dr,Sports,RWD,44535,39068,5.7,8,350,18,25,3.246,105,180,74
Chevrolet Corvette convertible 2dr,Sports,RWD,51535,45193,5.7,8,350,18,25,3.248,105,180,74
Chrysler Crossfire 2dr,Sports,RWD,34495,32033,3.2,6,215,17,25,3.06,95,160,70
Dodge Viper SRT-10 convertible 2dr,Sports,RWD,81795,74451,8.3,10,500,,,3.41,99,176,75
Ford Mustang 2dr (convertible),Sports,RWD,18345,16943,3.8,6,193,20,29,3.29,101,183,73
Ford Mustang GT Premium convertible 2dr,Sports,RWD,29380,26875,4.6,8,260,17,25,3.347,101,183,73
Ford Thunderbird Deluxe convert w/hardtop 2dr,Sports,FWD,37530,34483,3.9,8,280,17,24,3.78,107,186,72
Honda S2000 convertible 2dr,Sports,RWD,33260,29965,2.2,4,240,20,25,2.835,95,162,69
Hyundai Tiburon GT V6 2dr,Sports,FWD,18739,17101,2.7,6,172,19,26,3.023,100,173,69
Jaguar XK8 coupe 2dr,Sports,RWD,69995,63756,4.2,8,294,18,26,3.779,102,187,71
Jaguar XK8 convertible 2dr,Sports,RWD,74995,68306,4.2,8,294,18,26,3.98,102,187,71
Jaguar XKR coupe 2dr,Sports,RWD,81995,74676,4.2,8,390,16,23,3.865,102,187,71
Jaguar XKR convertible 2dr,Sports,RWD,86995,79226,4.2,8,390,16,23,4.042,102,187,71
Lexus SC 430 convertible 2dr,Sports,RWD,63200,55063,4.3,8,300,18,23,3.84,103,178,72
Mazda MX-5 Miata convertible 2dr,Sports,RWD,22388,20701,1.8,4,142,23,28,2.387,89,156,66
Mazda MX-5 Miata LS convertible 2dr,Sports,RWD,25193,23285,1.8,4,142,23,28,2.387,89,156,66
Mazda RX-8 4dr automatic,Sports,RWD,25700,23794,1.3,-1,197,18,25,3.053,106,174,
